Price,Adj Close,Close,High,Low,Open,Volume,log_ret,sigma20
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,,
Date,,,,,,,,
2017-01-05,2269.0,2269.0,2271.5,2260.449951171875,2268.179931640625,3785080000,-0.0007709676024818535,0.08224378778985285
2017-01-06,2276.97998046875,2276.97998046875,2282.10009765625,2264.06005859375,2271.139892578125,3342080000,0.0035107891805798985,0.07079753881547507
2017-01-09,2268.89990234375,2268.89990234375,2275.489990234375,2268.89990234375,2273.590087890625,3219730000,-0.0035549054715602324,0.0721515903351377
2017-01-10,2268.89990234375,2268.89990234375,2279.27001953125,2265.27001953125,2269.719970703125,3640560000,0.0,0.0694047616635512
2017-01-11,2275.320068359375,2275.320068359375,2275.320068359375,2260.830078125,2268.60009765625,3625080000,0.002825642389102434,0.06979066561389569
2017-01-12,2270.43994140625,2270.43994140625,2271.780029296875,2254.25,2271.139892578125,3466220000,-0.0021471123937297776,0.0665927670828326
2017-01-13,2274.639892578125,2274.639892578125,2278.679931640625,2271.510009765625,2272.739990234375,3090680000,0.0018481313951461686,0.05987294219588607
2017-01-17,2267.889892578125,2267.889892578125,2272.080078125,2262.81005859375,2269.139892578125,3586950000,-0.0029719144562179167,0.05965444471861423
2017-01-18,2271.889892578125,2271.889892578125,2272.010009765625,2263.35009765625,2269.139892578125,3317670000,0.0017622004698090166,0.05949672506716375
2017-01-19,2263.68994140625,2263.68994140625,2274.330078125,2258.409912109375,2271.89990234375,3168390000,-0.0036158376243191626,0.06065334219355662
2017-01-20,2271.31005859375,2271.31005859375,2276.9599609375,2265.010009765625,2269.9599609375,3536850000,0.0033605840613004645,0.060457774189258254
2017-01-23,2265.199951171875,2265.199951171875,2271.780029296875,2257.02001953125,2267.780029296875,3155240000,-0.002693749646070387,0.06058328574813544
2017-01-24,2280.070068359375,2280.070068359375,2284.6298828125,2266.679931640625,2267.8798828125,3816950000,0.006543140528962432,0.0641976070188156
2017-01-25,2298.3701171875,2298.3701171875,2299.550048828125,2288.8798828125,2288.8798828125,3849340000,0.007994052795968543,0.0693300834567946
2017-01-26,2296.679931640625,2296.679931640625,2300.989990234375,2294.080078125,2298.6298828125,3611510000,-0.0007356549352630637,0.06929125177721299
2017-01-27,2294.68994140625,2294.68994140625,2299.02001953125,2291.6201171875,2299.02001953125,3137420000,-0.0008668394897410892,0.06141921640567748
2017-01-30,2280.89990234375,2280.89990234375,2286.010009765625,2268.0400390625,2286.010009765625,3595040000,-0.006027673496096675,0.06595963670758344
2017-01-31,2278.8701171875,2278.8701171875,2279.090087890625,2267.2099609375,2274.02001953125,4089730000,-0.0008903016080328285,0.06335172441732223
2017-02-01,2279.550048828125,2279.550048828125,2289.139892578125,2272.43994140625,2285.590087890625,3919190000,0.0002983189881167192,0.057052102635778555
2017-02-02,2280.85009765625,2280.85009765625,2283.969970703125,2271.64990234375,2276.68994140625,3809760000,0.0005701468386902775,0.053797245685421255
2017-02-03,2297.419921875,2297.419921875,2298.31005859375,2287.8798828125,2288.5400390625,3605970000,0.007238496854554022,0.058835685877469034
2017-02-06,2292.56005859375,2292.56005859375,2296.179931640625,2288.570068359375,2294.280029296875,3112390000,-0.00211759751370888,0.058576047092601655
2017-02-07,2293.080078125,2293.080078125,2299.39990234375,2290.159912109375,2295.8701171875,3452460000,0.00022680346384529315,0.056842485255995896
2017-02-08,2294.669921875,2294.669921875,2295.909912109375,2285.3798828125,2289.550048828125,3611950000,0.0006930821486097472,0.05681162326305706
2017-02-09,2307.8701171875,2307.8701171875,2311.080078125,2296.610107421875,2296.699951171875,3681600000,0.005736063735960251,0.05911663709915995
2017-02-10,2316.10009765625,2316.10009765625,2319.22998046875,2311.10009765625,2312.27001953125,3496600000,0.0035597068220090122,0.0589380638003128
2017-02-13,2328.25,2328.25,2331.580078125,2321.419921875,2321.719970703125,3352370000,0.0052321335840117555,0.06069163246238057
2017-02-14,2337.580078125,2337.580078125,2337.580078125,2322.169921875,2326.1201171875,3528040000,0.003999327195672642,0.059485155135203235
2017-02-15,2349.25,2349.25,2351.300048828125,2334.81005859375,2335.580078125,3785870000,0.0049798886657344,0.06068439608896053
2017-02-16,2347.219970703125,2347.219970703125,2351.31005859375,2338.8701171875,2349.639892578125,3675900000,-0.0008644916015505544,0.05836461539135088
2017-02-17,2351.159912109375,2351.159912109375,2351.159912109375,2339.580078125,2343.010009765625,3516830000,0.0016771493272376148,0.05809170483299854
2017-02-21,2365.3798828125,2365.3798828125,2366.7099609375,2354.909912109375,2354.909912109375,3587520000,0.006029850020069283,0.05756397549507058
2017-02-22,2362.820068359375,2362.820068359375,2365.1298828125,2358.340087890625,2361.110107421875,3473170000,-0.0010827861468039046,0.05628612042863067
2017-02-23,2363.81005859375,2363.81005859375,2368.260009765625,2355.090087890625,2367.5,4021770000,0.00041889897125901854,0.051664793065026506
